id,ean,name,type,food_type,brand,product_origin,supplier,top_category,top_category_id,category_path,size,unit_of_measure,increment_by,min_order,max_order,price,currency,formatted_price,min_buying_value,stock_status,stock_qty,is_available,availability_max,seller,seller_type,shipping,is_marketplace,is_express,is_bulk,is_scalable,is_fbc,preorder,has_promo
186698,6164004592344,Kentaste Original Coconut Chips 40G,FOOD,DRY,KENTASTE,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Chips, Dips & Snacks/Chips",40g,pieces,1,1,10,149,KES,KES149.00,149.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
117605,6164002740938,Sunveat Shortcake Biscuits 200g,FOOD,DRY,SUNVEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Biscuits, Crackers & Cakes/Digestives & Assorted Biscuits/Assorted & Tins",200g,pieces,1,1,10,149,KES,KES149.00,149.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
84847,6922547800056,HAILONG SWEET POTATO NOODLES 248G,FOOD,DRY,,China,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/World Specialities/Chinese,248g,pieces,1,1,10,360,KES,KES360.00,360.00,lowStock,5,True,5,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
88769,6161103376516,Dairyland Fudge Dessert Topping Sauce 650g,FOOD,DRY,DAIRY LAND,Kenya,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Sugar & Home Baking/Baking Ingredients/Creams,650g,pieces,1,1,10,410,KES,KES410.00,410.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
23236,80177609,Kinder Chocolate 50G 4 Pieces,FOOD,DRY,KINDER,United States,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Chocolate & Confectionery/Chocolates/Kids Chocolates,50g (4 Pieces),pieces,1,1,10,250,KES,KES250.00,250.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
119676,6291080026248,Virginia Green Garden Strawberry Syrup 624g,FOOD,DRY,VIRGINIA GREEN GARDEN,United Arab Emirates,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Sugar & Home Baking/Baking Ingredients/Napping Sauce & Syrup,624g,pieces,1,1,10,500,KES,KES500.00,500.00,lowStock,2,True,2,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
187629,8857101221719,DEE THAI SWEETCHILLI SAUCE 690ML,FOOD,DRY,DEE THAI,,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Condiments, Dressings & Marinades/Sauces & Condiments/Hot Sauces",,pieces,1,1,10,870,KES,KES870.00,870.00,lowStock,8,True,8,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
32280,6161100910072,Tropical Heat Snacks Cheese&Onion Potato Crisps 100G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Chips, Dips & Snacks/Chips",100g,pieces,1,1,10,115,KES,KES115.00,115.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
171248,5000318004030,Green's Cherry Jelly 80g,FOOD,DRY,GREEN'S,United Kingdom,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Chocolate & Confectionery/Candy/Jellies,80g,pieces,1,1,10,178,KES,KES178.00,178.00,lowStock,7,True,7,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
236019,8852646240508,Thai Dancer Tom Kha Curry Paste 50G,FOOD,DRY,Thai Dancer,,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/World Specialities/Thai,,pieces,1,1,10,245,KES,KES245.00,245.00,inStock,,True,100,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
202598,735745919149,Queen Deli Chedar & Paprika Crackers 200g,FOOD,DRY,QUEEN DELI,,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Biscuits, Crackers & Cakes/Crackers & Crispbread/Crackers",200g,pieces,1,1,10,697,KES,KES697.00,697.00,lowStock,3,True,3,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
136340,792382459476,CHIKA CHIKA MANGO CHILLY 300G,FOOD,DRY,CHIKA,United States,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Condiments, Dressings & Marinades/Sauces & Condiments/Hot Sauces",300ml,pieces,1,1,10,265,KES,KES265.00,265.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
79145,6920907800210,ORION EGG PIE 138G,FOOD,DRY,ORION,Kenya,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/World Specialities/Japanese Food,138gr,pieces,1,1,10,519,KES,KES519.00,519.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
165715,6161102370331,Lyons Mayowhip Mayonnaise 340Ml,FOOD,DRY,LYONS,KENYA,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Condiments, Dressings & Marinades/Sauces & Condiments/Mayonnaise",340ML,pieces,1,1,10,259,KES,KES259.00,259.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
230204,6975632510200,Arpo White Rice Vinegar 500Ml,FOOD,DRY,,,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Condiments, Dressings & Marinades/Salad Dressings & Vinaigrettes/White Vinegars",500Ml,pieces,1,1,10,350,KES,KES350.00,350.00,lowStock,9,True,9,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
100872,6161101252188,Manji Ginger Cookies 500g,FOOD,DRY,MANJI,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Biscuits, Crackers & Cakes/Digestives & Assorted Biscuits/Butter Cookies",500g,pieces,1,1,2,400,KES,KES400.00,400.00,inStock,,True,2,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
177992,792382536108,Chika Chika Baobab Chili Sweets 200G (Mabuyu),FOOD,DRY,CHIKA,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Nuts, Dates & Dried Fruits/Nuts & Seeds/Nuts",200g,pieces,1,1,10,230,KES,KES230.00,230.00,lowStock,1,True,1,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
201256,6164004415001,Krunchy Nutz Salted Flavour Roasted Cashews 50g,FOOD,DRY,,,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Nuts, Dates & Dried Fruits/Nuts & Seeds/Cashew",50g,pieces,1,1,10,160,KES,KES160.00,160.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
211256,9556619123513,Rico  Lychee Pudding Cup 100G,FOOD,DRY,RICO,,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Sugar & Home Baking/Flour & Bread Mixes/Pudding,,pieces,1,1,10,145,KES,KES145.00,145.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
91343,6161103944869,NuVita Flap Jacks Original Oat Bakes Cookies 200g,FOOD,DRY,NUVITA,,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Biscuits, Crackers & Cakes/Digestives & Assorted Biscuits/Butter Cookies",,pieces,1,1,10,288,KES,KES288.00,288.00,lowStock,5,True,5,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
230154,6294003300609,FESTIVA MAYONNAISE 473ML,FOOD,DRY,Festiva,,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Condiments, Dressings & Marinades/Sauces & Condiments/Mayonnaise",,pieces,1,1,10,555,KES,KES555.00,555.00,inStock,,True,100,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
1177,6161101520287,Depy's Nuts Chevda 100g,FOOD,DRY,DEPY'S,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Nuts, Dates & Dried Fruits/Nuts & Seeds/Mixed Nuts",100g,pieces,1,1,24,110,KES,KES110.00,110.00,lowStock,8,True,8,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
65220,5031396021329,Paint Splash Orange And Strawberry Lollipop With Sherbet Dip 39g,FOOD,DRY,PAINT SPLASH,,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Chocolate & Confectionery/Candy/Others candy,39g,pieces,1,1,10,496,KES,KES496.00,496.00,lowStock,9,True,9,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
39617,6161101140676,Morning Harvest Jumbo Oats Box 500g,FOOD,DRY,WHITE GLO,Kenya,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Breakfast Cereals & Bars/Oats,500g,pieces,1,1,10,329,KES,KES329.00,329.00,lowStock,4,True,4,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
10951,6917790977440,ANGEL INSTANT DRY YEAST 2 IN 1 500G,FOOD,DRY,ANGEL,,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Sugar & Home Baking/Baking Ingredients/Baking Soda & Yeast,,pieces,1,1,10,509,KES,KES509.00,509.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,True
64778,8901123000859,Lotte Eclair Choco 500G,FOOD,DRY,LOTTE,,Carrefour,Food Cupboard,FKEN1700000,Food Cupboard/Chocolate & Confectionery/Candy/Toffees & Caramel,,pieces,1,1,10,899,KES,KES899.00,899.00,lowStock,9,True,9,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
134900,6164004743074,Elbbin  Nibble Potato Cheese Burger Chips Stick 70G,FOOD,DRY,ELBBIN&NIBBLE,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Chips, Dips & Snacks/Chips",70g,pieces,1,1,10,95,KES,KES95.00,95.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
