product_id,name,price_kes,old_price_kes,discount,in_stock,product_url,image_url,category
238366,Peptang Strawberry Jam 1Kg Pet,299.0,,33.56,True,https://www.quickmart.co.ke/peptang-strawberry-jam-1kg-pet-36,https://cfn.quickmart.co.ke/resized/230_230/product_images_450418.png?t=1777249809,foods
238363,Peptang Red Plum Jam 1Kg Pet,299.0,,33.56,True,https://www.quickmart.co.ke/peptang-red-plum-jam-1kg-pet-36,https://cfn.quickmart.co.ke/resized/230_230/product_images_450416.png?t=1777249626,foods
668223,Peptang Pinneapple Jam 1Kg Pet,299.0,,33.56,True,https://www.quickmart.co.ke/peptang-pinneapple-jam-1kg-pet-36,https://cfn.quickmart.co.ke/resized/230_230/product_images_687066.png?t=1777248183,foods
355992,Peptang Green Chilli Sauce 400G,105.0,,32.26,True,https://www.quickmart.co.ke/peptang-green-chilli-sauce-400g-61,https://cfn.quickmart.co.ke/resized/230_230/product_images_982119.png?t=1777249663,foods
667044,Bio-Mc Garlic Mayonnaise 330G,280.0,,31.54,True,https://www.quickmart.co.ke/bio-mc-garlic-mayonnaise-330g-41,https://cfn.quickmart.co.ke/resized/230_230/product_images_686250.png?t=1777248184,foods
230517,Zesta Tomato Sauce 7 To 7 700G,122.0,,30.29,True,https://www.quickmart.co.ke/zesta-tomato-sauce-7-to-7-700g-36,https://cfn.quickmart.co.ke/resized/230_230/product_images_420471.png?t=1777251421,foods
263249,Golden Digestive Classic 200G,118.0,,30.18,True,https://www.quickmart.co.ke/golden-digestive-classic-200g-37,https://cfn.quickmart.co.ke/resized/230_230/product_images_506057.png?t=1777251438,foods
232120,Zesta Tomato Ketchup 400G,132.0,,30.16,True,https://www.quickmart.co.ke/zesta-tomato-ketchup-400g-36,https://cfn.quickmart.co.ke/resized/230_230/product_images_420817.png?t=1777251421,foods
710070,Zesta Tomato Ketchup Hot400G,132.0,,30.16,True,https://www.quickmart.co.ke/zesta-tomato-ketchup-hot400g-54,https://cfn.quickmart.co.ke/resized/230_230/product_images_408594.png?t=1777248579,foods
1051374,Baraka Chai Jar 500G Tangawizi 500G,234.0,,30.15,True,https://www.quickmart.co.ke/baraka-chai-jar-500g-tangawizi-500g-18,https://cfn.quickmart.co.ke/resized/230_230/product_images_545814.png?t=1777246946,foods
263267,Golden Digestive Classic 400G,195.0,,30.11,True,https://www.quickmart.co.ke/golden-digestive-classic-400g-37,https://cfn.quickmart.co.ke/resized/230_230/product_images_506058.png?t=1777251464,foods
218471,Macuisine Real Tomato Ketchup 380G,230.0,,30.09,True,https://www.quickmart.co.ke/macuisine-real-tomato-ketchup-380g-58,https://cfn.quickmart.co.ke/resized/230_230/product_images_405095.png?t=1777251441,foods
359619,Just Strawberry Jam 300G,279.0,,30.08,True,https://www.quickmart.co.ke/just-strawberry-jam-300g-38,https://cfn.quickmart.co.ke/resized/230_230/product_images_450541.png?t=1777252086,foods
218463,Mc Just Raspberry Jam 300G,279.0,,30.08,True,https://www.quickmart.co.ke/mc-just-raspberry-jam-300g-36,https://cfn.quickmart.co.ke/resized/230_230/product_images_405094.png?t=1777252087,foods
359623,Seville Orange Marmalade Jam 300G,279.0,,30.08,True,https://www.quickmart.co.ke/seville-orange-marmalade-jam-300g-38,https://cfn.quickmart.co.ke/resized/230_230/product_images_450575.png?t=1777252087,foods
389509,Zesta Pure Natural Honey 500G Jar,314.0,,30.07,True,https://www.quickmart.co.ke/zesta-pure-natural-honey-500g-jar-33,https://cfn.quickmart.co.ke/resized/230_230/product_images_450600.png?t=1777249293,foods
218453,Real Mayonnaise 330G,300.0,,30.07,True,https://www.quickmart.co.ke/real-mayonnaise-330g-36,https://cfn.quickmart.co.ke/resized/230_230/product_images_405093.png?t=1777251423,foods
236786,Zesta Red Plum Jam 1Kg,314.0,,30.07,True,https://www.quickmart.co.ke/zesta-red-plum-jam-1kg-36,https://cfn.quickmart.co.ke/resized/230_230/product_images_450047.png?t=1777252149,foods
236795,Zesta Mixed Fruit Jam 1Kg,314.0,,30.07,True,https://www.quickmart.co.ke/zesta-mixed-fruit-jam-1kg-56,https://cfn.quickmart.co.ke/resized/230_230/product_images_450050.png?t=1777252155,foods
359625,Zesta Pure Natural Honey 500G Sqz,314.0,,30.07,True,https://www.quickmart.co.ke/zesta-pure-natural-honey-500g-sqz-25,https://cfn.quickmart.co.ke/resized/230_230/product_images_450598.png?t=1777249410,foods
328644,Mumias Sugar 2 Kg,305.0,,,True,https://www.quickmart.co.ke/mumias-sugar-2-kg-37,https://cfn.quickmart.co.ke/resized/230_230/product_images_675419.png?t=1777252059,sugar
328656,Mumias Sugar 1 Kg,155.0,,,True,https://www.quickmart.co.ke/mumias-sugar-1-kg-37,https://cfn.quickmart.co.ke/resized/230_230/product_images_675445.png?t=1777252059,sugar
265722,Kabras Sugar White 2Kg,305.0,,,True,https://www.quickmart.co.ke/kabras-sugar-white-2kg-37,https://cfn.quickmart.co.ke/resized/230_230/product_images_510160.png?t=1777252041,sugar
265730,Kabras Sugar White 1Kg,155.0,,,True,https://www.quickmart.co.ke/kabras-sugar-white-1kg-37,https://cfn.quickmart.co.ke/resized/230_230/product_images_510161.png?t=1777252047,sugar
857080,Kakira Sugar 1Kg,160.0,,,True,https://www.quickmart.co.ke/kakira-sugar-1kg-33,https://cfn.quickmart.co.ke/resized/230_230/product_images_636501.png?t=1777247326,sugar
857085,Kakira Sugar 2Kg,319.0,,,True,https://www.quickmart.co.ke/kakira-sugar-2kg-33,https://cfn.quickmart.co.ke/resized/230_230/product_images_636502.png?t=1777247325,sugar
857088,Valley Sugar Brown 1Kg,155.0,,,True,https://www.quickmart.co.ke/valley-sugar-brown-1kg-33,https://cfn.quickmart.co.ke/resized/230_230/product_images_637030.png?t=1777247325,sugar
1541080,Butali Sugar 2Kg,329.0,,,True,https://www.quickmart.co.ke/butali-sugar-2kg-61,https://cfn.quickmart.co.ke/resized/230_230/product_images_408692.png?t=1777246145,sugar
