id,ean,name,type,food_type,brand,product_origin,supplier,top_category,top_category_id,category_path,size,unit_of_measure,increment_by,min_order,max_order,price,currency,formatted_price,min_buying_value,stock_status,stock_qty,is_available,availability_max,seller,seller_type,shipping,is_marketplace,is_express,is_bulk,is_scalable,is_fbc,preorder,has_promo,sku,standard_sku,standard_sku_2,sku_qty,sku_unit,flag_missing_sku,flag_zero_or_negative,flag_size_outlier,flag_iqr_outlier,unit_price,lier,flag_unit_price_outlier,flag_any_out,unit_price_index,department,category,subcategory,category_median_unit_price_x,category_price_index,category_median_unit_price_y,category_median_unit_price,product_price_segment,category_premium_ceiling,price_gap_to_premium,flag_money_on_table,uplift_factor,should_be_price_index,should_be_unit_price,should_be_price,price_uplift_potential
38462,8076800195019,Barilla Capellini Pasta 500g,FOOD,DRY,BARILLA,Italy,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Special Shape Pasta",500g,pieces,1.0,1.0,10,595,KES,KES595.00,595.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,500G,500G,500G,500.0,G,False,False,False,False,1.19,False,,False,76.77419354838709,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,170.0,0.7,0.7,Premium,713.5714285714287,543.5714285714287,False,0.0,170.0,1.19,595.0,0.0
160729,8007290330819,GORO NO 81 TAGLIATELLE 500G,FOOD,DRY,GRANORO,Italy,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Special Shape Pasta",500g,pieces,1.0,1.0,10,589,KES,KES589.00,589.0,lowStock,9.0,True,9,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,500G,500G,500G,500.0,G,False,False,False,False,1.178,False,,False,75.99999999999999,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,168.28571428571428,0.7,0.7,Premium,713.5714285714287,545.2857142857144,False,0.0,168.28571428571428,1.178,589.0,0.0
25796,8000139913181,Santa Lucia Farfalle Pasta 500g,FOOD,DRY,SANTA LUCIA,Italy,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Short Cut Pasta",500g,pieces,1.0,1.0,2,387,KES,KES387.00,387.0,inStock,,True,2,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,500G,500G,500G,500.0,G,False,False,False,False,0.774,False,,False,49.93548387096774,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,110.57142857142858,0.7,0.7,Upper-Mainstream,713.5714285714287,603.0000000000001,True,0.8,592.9714285714286,4.1508,2075.4,1688.4
174374,6224008372615,Royal Premium Quality Macaroni Spaghetti 400g,FOOD,DRY,LP - NONAME,Egypt,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Short Cut Pasta",400g,pieces,1.0,1.0,10,79,KES,KES79.00,79.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,True,400G,400G,400G,400.0,G,False,False,False,False,0.1975,False,,False,12.741935483870966,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,28.21428571428572,0.7,0.7,Value,713.5714285714287,685.357142857143,True,0.4,302.35714285714295,2.1165000000000007,846.6000000000003,767.6000000000003
160725,8007290130266,GRANORO NO 26 PENNE RIGATE 500G,FOOD,DRY,GRANORO,Italy,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Special Shape Pasta",500g,pieces,1.0,1.0,10,350,KES,KES350.00,350.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,500G,500G,500G,500.0,G,False,False,False,False,0.7,False,,False,45.16129032258064,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,100.0,0.7,0.7,Mainstream,713.5714285714287,613.5714285714287,True,0.6,468.14285714285717,3.2769999999999997,1638.4999999999998,1288.4999999999998
38463,8076800195033,Barilla N.3 Spaghettini Pasta 500g,FOOD,DRY,BARILLA,Italy,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Spaghetti",500g,pieces,1.0,1.0,10,595,KES,KES595.00,595.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,500G,500G,500G,500.0,G,False,False,False,False,1.19,False,,False,76.77419354838709,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,170.0,0.7,0.7,Premium,713.5714285714287,543.5714285714287,False,0.0,170.0,1.19,595.0,0.0
240427,3560070777013,Carrefour Cannelloni Pasta 250g Pack+,FOOD,DRY,CRF,,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Spaghetti",,pieces,1.0,1.0,10,599,KES,KES599.00,599.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,,250G,250G,250.0,G,False,False,False,False,2.396,False,,False,154.5806451612903,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,342.2857142857143,0.7,0.7,Premium,713.5714285714287,371.2857142857144,False,0.0,342.2857142857143,2.396,599.0,0.0
25791,8000139913198,Santa Lucia Elbow Pasta 500g,FOOD,DRY,SANTA LUCIA,Italy,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Short Cut Pasta",500g,pieces,1.0,1.0,2,387,KES,KES387.00,387.0,inStock,,True,2,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,500G,500G,500G,500.0,G,False,False,False,False,0.774,False,,False,49.93548387096774,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,110.57142857142858,0.7,0.7,Upper-Mainstream,713.5714285714287,603.0000000000001,True,0.8,592.9714285714286,4.1508,2075.4,1688.4
186532,8007290935502,Granoro Gnocchi Di Patate Pasta 500g,FOOD,DRY,GRANORO,Italy,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Short Cut Pasta",500g,pieces,1.0,1.0,10,480,KES,KES480.00,480.0,lowStock,2.0,True,2,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,500G,500G,500G,500.0,G,False,False,False,False,0.96,False,,False,61.93548387096774,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,137.14285714285714,0.7,0.7,Premium,713.5714285714287,576.4285714285716,False,0.0,137.14285714285714,0.96,480.0,0.0
38465,8076808150072,Barilla Spaghettoni No. 7 Pasta 500g,FOOD,DRY,BARILLA,Italy,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Rice, Pasta & Pulses/Pasta/Special Shape Pasta",500g,pieces,1.0,1.0,10,595,KES,KES595.00,595.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,500G,500G,500G,500.0,G,False,False,False,False,1.19,False,,False,76.77419354838709,Food Cupboard,"Rice, Pasta & Pulses",Pasta,0.7,170.0,0.7,0.7,Premium,713.5714285714287,543.5714285714287,False,0.0,170.0,1.19,595.0,0.0
